seq,location,ID
-1,1,-1
-2,0,52
-3,1,52
-4,2,52
-5,3,52
-6,4,52
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,10
11,0,11
12,0,12
13,0,13
14,0,14
15,0,15
16,0,16
17,0,17
18,0,18
19,0,19
20,0,20
21,0,21
22,0,22
23,0,23
24,0,24
25,0,25
26,0,26
27,0,27
28,0,28
29,0,29
30,0,30
31,0,31
32,0,32
33,0,33
34,0,34
35,0,35
36,0,36
37,0,37
38,0,38
39,0,39
40,0,40
41,0,41
42,0,42
43,0,43
44,0,44
45,0,45
46,0,46
47,0,47
48,0,48
49,0,49
50,0,50
51,0,51
52,1,0
53,1,1
54,1,2
55,1,3
56,1,4
57,1,5
58,1,6
59,1,7
60,1,8
61,1,9
62,1,10
63,1,11
64,1,12
65,1,13
66,1,14
67,1,15
68,1,16
69,1,17
70,1,18
71,1,19
72,1,20
73,1,21
74,1,22
75,1,23
76,1,24
77,1,25
78,1,26
79,1,27
80,1,28
81,1,29
82,1,30
83,1,31
84,1,32
85,1,33
86,1,34
87,1,35
88,1,36
89,1,37
90,1,38
91,1,39
92,1,40
93,1,41
94,1,42
95,1,43
96,1,44
97,1,45
98,1,46
99,1,47
100,1,48
101,1,49
102,1,50
103,1,51
104,2,0
105,2,1
106,2,2
107,2,3
108,2,4
109,2,5
110,2,6
111,2,7
112,2,8
113,2,9
114,2,10
115,2,11
116,2,12
117,2,13
118,2,14
119,2,15
120,2,16
121,2,17
122,2,18
123,2,19
124,2,20
125,2,21
126,2,22
127,2,23
128,2,24
129,2,25
130,2,26
131,2,27
132,2,28
133,2,29
134,2,30
135,2,31
136,2,32
137,2,33
138,2,34
139,2,35
140,2,36
141,2,37
142,2,38
143,2,39
144,2,40
145,2,41
146,2,42
147,2,43
148,2,44
149,2,45
150,2,46
151,2,47
152,2,48
153,2,49
154,2,50
155,2,51
156,3,0
157,3,1
158,3,2
159,3,3
160,3,4
161,3,5
162,3,6
163,3,7
164,3,8
165,3,9
166,3,10
167,3,11
168,3,12
169,3,13
170,3,14
171,3,15
172,3,16
173,3,17
174,3,18
